driver,agg_delta_s,agg_se_s,events_used,total_weight,label_team
ALO,-0.09382932053947066,0.005304748265333874,12.0,35536.15545722308,Aston Martin
HAM,-0.07275407846685486,0.0055994767744574625,12.0,31893.71468296256,Ferrari
BEA,-0.01236944364637478,0.006429551107256383,12.0,24190.15741035005,Haas F1 Team
LAW,0.00022373714049960813,0.00034529431037622207,12.0,8387280.265610875,Racing Bulls
ANT,0.0011864586383149409,0.005092528642838319,12.0,38559.64609815519,Mercedes
RUS,0.0026897295218521935,0.004786623594729267,12.0,43645.69822097146,Mercedes
PIA,0.0049925388315908295,0.004915734192274021,12.0,41383.11876345218,McLaren
HAD,0.006627392599062028,0.00513817026433922,12.0,37877.64915995113,Racing Bulls
HUL,0.012801892643812254,0.0030918023550660094,12.0,104610.80707341828,Kick Sauber
VER,0.015142937046986688,0.004844110991478378,12.0,42615.91613761273,Red Bull Racing
DOO,0.02878622062393656,0.01530960320440285,4.0,4266.503738081584,Alpine
GAS,0.029629516296947964,0.006425779285107559,12.0,24218.564159445068,Alpine
NOR,0.04581456108426535,0.0041820714039907765,12.0,57176.440205040824,McLaren
LEC,0.05014255129091803,0.00402083548370629,12.0,61853.94334365265,Ferrari
ALB,0.10519909922399018,0.00654860516891409,12.0,23318.595389664293,Williams
STR,0.12903209248591638,0.00041581348356696843,12.0,5783661.456710866,Aston Martin
OCO,0.13440616588333262,0.004356690520450307,12.0,52684.95076852858,Haas F1 Team
COL,0.3177875372172983,0.0003605651739850564,8.0,7691879.03626263,Alpine
TSU,0.38660920079814454,0.0013072253199075488,12.0,585192.9664155021,Red Bull Racing
SAI,0.44036453015345467,0.0012596665196577515,12.0,630215.1323359362,Williams
BOR,2.598465194486193,0.00038195607860733703,12.0,6854458.448239791,Kick Sauber
