driver,step,n,event
ALB,raw,9,2025 Hungarian Grand Prix
ALO,raw,15,2025 Hungarian Grand Prix
ANT,raw,9,2025 Hungarian Grand Prix
BEA,raw,12,2025 Hungarian Grand Prix
BOR,raw,18,2025 Hungarian Grand Prix
COL,raw,12,2025 Hungarian Grand Prix
GAS,raw,6,2025 Hungarian Grand Prix
HAD,raw,15,2025 Hungarian Grand Prix
HAM,raw,12,2025 Hungarian Grand Prix
HUL,raw,6,2025 Hungarian Grand Prix
LAW,raw,18,2025 Hungarian Grand Prix
LEC,raw,18,2025 Hungarian Grand Prix
NOR,raw,18,2025 Hungarian Grand Prix
OCO,raw,6,2025 Hungarian Grand Prix
PIA,raw,18,2025 Hungarian Grand Prix
RUS,raw,15,2025 Hungarian Grand Prix
SAI,raw,15,2025 Hungarian Grand Prix
STR,raw,18,2025 Hungarian Grand Prix
TSU,raw,6,2025 Hungarian Grand Prix
VER,raw,18,2025 Hungarian Grand Prix
ALB,accurate_valid,3,2025 Hungarian Grand Prix
ALO,accurate_valid,5,2025 Hungarian Grand Prix
ANT,accurate_valid,2,2025 Hungarian Grand Prix
BEA,accurate_valid,4,2025 Hungarian Grand Prix
BOR,accurate_valid,6,2025 Hungarian Grand Prix
COL,accurate_valid,3,2025 Hungarian Grand Prix
GAS,accurate_valid,2,2025 Hungarian Grand Prix
HAD,accurate_valid,5,2025 Hungarian Grand Prix
HAM,accurate_valid,4,2025 Hungarian Grand Prix
HUL,accurate_valid,2,2025 Hungarian Grand Prix
LAW,accurate_valid,6,2025 Hungarian Grand Prix
LEC,accurate_valid,6,2025 Hungarian Grand Prix
NOR,accurate_valid,6,2025 Hungarian Grand Prix
OCO,accurate_valid,2,2025 Hungarian Grand Prix
PIA,accurate_valid,6,2025 Hungarian Grand Prix
RUS,accurate_valid,5,2025 Hungarian Grand Prix
SAI,accurate_valid,5,2025 Hungarian Grand Prix
STR,accurate_valid,5,2025 Hungarian Grand Prix
TSU,accurate_valid,2,2025 Hungarian Grand Prix
VER,accurate_valid,6,2025 Hungarian Grand Prix
ALB,soft_only,3,2025 Hungarian Grand Prix
ALO,soft_only,5,2025 Hungarian Grand Prix
ANT,soft_only,2,2025 Hungarian Grand Prix
BEA,soft_only,4,2025 Hungarian Grand Prix
BOR,soft_only,6,2025 Hungarian Grand Prix
COL,soft_only,3,2025 Hungarian Grand Prix
GAS,soft_only,2,2025 Hungarian Grand Prix
HAD,soft_only,5,2025 Hungarian Grand Prix
HAM,soft_only,4,2025 Hungarian Grand Prix
HUL,soft_only,2,2025 Hungarian Grand Prix
LAW,soft_only,6,2025 Hungarian Grand Prix
LEC,soft_only,6,2025 Hungarian Grand Prix
NOR,soft_only,6,2025 Hungarian Grand Prix
OCO,soft_only,2,2025 Hungarian Grand Prix
PIA,soft_only,6,2025 Hungarian Grand Prix
RUS,soft_only,5,2025 Hungarian Grand Prix
SAI,soft_only,5,2025 Hungarian Grand Prix
STR,soft_only,5,2025 Hungarian Grand Prix
TSU,soft_only,2,2025 Hungarian Grand Prix
VER,soft_only,6,2025 Hungarian Grand Prix
ALB,bounds,3,2025 Hungarian Grand Prix
ALO,bounds,5,2025 Hungarian Grand Prix
ANT,bounds,2,2025 Hungarian Grand Prix
BEA,bounds,4,2025 Hungarian Grand Prix
BOR,bounds,6,2025 Hungarian Grand Prix
COL,bounds,3,2025 Hungarian Grand Prix
GAS,bounds,2,2025 Hungarian Grand Prix
HAD,bounds,5,2025 Hungarian Grand Prix
HAM,bounds,4,2025 Hungarian Grand Prix
HUL,bounds,2,2025 Hungarian Grand Prix
LAW,bounds,6,2025 Hungarian Grand Prix
LEC,bounds,6,2025 Hungarian Grand Prix
NOR,bounds,6,2025 Hungarian Grand Prix
OCO,bounds,2,2025 Hungarian Grand Prix
PIA,bounds,6,2025 Hungarian Grand Prix
RUS,bounds,5,2025 Hungarian Grand Prix
SAI,bounds,5,2025 Hungarian Grand Prix
STR,bounds,5,2025 Hungarian Grand Prix
TSU,bounds,2,2025 Hungarian Grand Prix
VER,bounds,6,2025 Hungarian Grand Prix
ALB,trimmed,3,2025 Hungarian Grand Prix
ALO,trimmed,3,2025 Hungarian Grand Prix
ANT,trimmed,2,2025 Hungarian Grand Prix
BEA,trimmed,4,2025 Hungarian Grand Prix
BOR,trimmed,4,2025 Hungarian Grand Prix
COL,trimmed,3,2025 Hungarian Grand Prix
GAS,trimmed,2,2025 Hungarian Grand Prix
HAD,trimmed,3,2025 Hungarian Grand Prix
HAM,trimmed,4,2025 Hungarian Grand Prix
HUL,trimmed,2,2025 Hungarian Grand Prix
LAW,trimmed,4,2025 Hungarian Grand Prix
LEC,trimmed,4,2025 Hungarian Grand Prix
NOR,trimmed,4,2025 Hungarian Grand Prix
OCO,trimmed,2,2025 Hungarian Grand Prix
PIA,trimmed,4,2025 Hungarian Grand Prix
RUS,trimmed,3,2025 Hungarian Grand Prix
SAI,trimmed,3,2025 Hungarian Grand Prix
STR,trimmed,3,2025 Hungarian Grand Prix
TSU,trimmed,2,2025 Hungarian Grand Prix
VER,trimmed,4,2025 Hungarian Grand Prix
ALB,raw,20,2025 Belgian Grand Prix
ALO,raw,8,2025 Belgian Grand Prix
ANT,raw,6,2025 Belgian Grand Prix
BEA,raw,13,2025 Belgian Grand Prix
BOR,raw,18,2025 Belgian Grand Prix
COL,raw,8,2025 Belgian Grand Prix
GAS,raw,14,2025 Belgian Grand Prix
HAD,raw,19,2025 Belgian Grand Prix
HAM,raw,8,2025 Belgian Grand Prix
HUL,raw,14,2025 Belgian Grand Prix
LAW,raw,20,2025 Belgian Grand Prix
LEC,raw,18,2025 Belgian Grand Prix
NOR,raw,20,2025 Belgian Grand Prix
OCO,raw,14,2025 Belgian Grand Prix
PIA,raw,21,2025 Belgian Grand Prix
RUS,raw,18,2025 Belgian Grand Prix
SAI,raw,13,2025 Belgian Grand Prix
STR,raw,8,2025 Belgian Grand Prix
TSU,raw,17,2025 Belgian Grand Prix
VER,raw,15,2025 Belgian Grand Prix
ALB,accurate_valid,6,2025 Belgian Grand Prix
ALO,accurate_valid,2,2025 Belgian Grand Prix
ANT,accurate_valid,2,2025 Belgian Grand Prix
BEA,accurate_valid,3,2025 Belgian Grand Prix
BOR,accurate_valid,5,2025 Belgian Grand Prix
COL,accurate_valid,2,2025 Belgian Grand Prix
GAS,accurate_valid,4,2025 Belgian Grand Prix
HAD,accurate_valid,6,2025 Belgian Grand Prix
HAM,accurate_valid,1,2025 Belgian Grand Prix
HUL,accurate_valid,4,2025 Belgian Grand Prix
LAW,accurate_valid,6,2025 Belgian Grand Prix
LEC,accurate_valid,4,2025 Belgian Grand Prix
NOR,accurate_valid,7,2025 Belgian Grand Prix
OCO,accurate_valid,4,2025 Belgian Grand Prix
PIA,accurate_valid,9,2025 Belgian Grand Prix
RUS,accurate_valid,6,2025 Belgian Grand Prix
SAI,accurate_valid,3,2025 Belgian Grand Prix
STR,accurate_valid,2,2025 Belgian Grand Prix
TSU,accurate_valid,5,2025 Belgian Grand Prix
VER,accurate_valid,5,2025 Belgian Grand Prix
ALB,soft_only,6,2025 Belgian Grand Prix
ALO,soft_only,2,2025 Belgian Grand Prix
ANT,soft_only,2,2025 Belgian Grand Prix
BEA,soft_only,3,2025 Belgian Grand Prix
BOR,soft_only,5,2025 Belgian Grand Prix
COL,soft_only,2,2025 Belgian Grand Prix
GAS,soft_only,4,2025 Belgian Grand Prix
HAD,soft_only,6,2025 Belgian Grand Prix
HAM,soft_only,1,2025 Belgian Grand Prix
HUL,soft_only,4,2025 Belgian Grand Prix
LAW,soft_only,6,2025 Belgian Grand Prix
LEC,soft_only,4,2025 Belgian Grand Prix
NOR,soft_only,7,2025 Belgian Grand Prix
OCO,soft_only,4,2025 Belgian Grand Prix
PIA,soft_only,9,2025 Belgian Grand Prix
RUS,soft_only,6,2025 Belgian Grand Prix
SAI,soft_only,3,2025 Belgian Grand Prix
STR,soft_only,2,2025 Belgian Grand Prix
TSU,soft_only,5,2025 Belgian Grand Prix
VER,soft_only,5,2025 Belgian Grand Prix
ALB,bounds,6,2025 Belgian Grand Prix
ALO,bounds,2,2025 Belgian Grand Prix
ANT,bounds,2,2025 Belgian Grand Prix
BEA,bounds,3,2025 Belgian Grand Prix
BOR,bounds,5,2025 Belgian Grand Prix
COL,bounds,2,2025 Belgian Grand Prix
GAS,bounds,4,2025 Belgian Grand Prix
HAD,bounds,6,2025 Belgian Grand Prix
HAM,bounds,1,2025 Belgian Grand Prix
HUL,bounds,4,2025 Belgian Grand Prix
LAW,bounds,6,2025 Belgian Grand Prix
LEC,bounds,4,2025 Belgian Grand Prix
NOR,bounds,7,2025 Belgian Grand Prix
OCO,bounds,4,2025 Belgian Grand Prix
PIA,bounds,9,2025 Belgian Grand Prix
RUS,bounds,6,2025 Belgian Grand Prix
SAI,bounds,3,2025 Belgian Grand Prix
STR,bounds,2,2025 Belgian Grand Prix
TSU,bounds,5,2025 Belgian Grand Prix
VER,bounds,5,2025 Belgian Grand Prix
ALB,trimmed,4,2025 Belgian Grand Prix
ALO,trimmed,2,2025 Belgian Grand Prix
ANT,trimmed,2,2025 Belgian Grand Prix
BEA,trimmed,3,2025 Belgian Grand Prix
BOR,trimmed,3,2025 Belgian Grand Prix
COL,trimmed,2,2025 Belgian Grand Prix
GAS,trimmed,4,2025 Belgian Grand Prix
HAD,trimmed,4,2025 Belgian Grand Prix
HAM,trimmed,1,2025 Belgian Grand Prix
HUL,trimmed,4,2025 Belgian Grand Prix
LAW,trimmed,4,2025 Belgian Grand Prix
LEC,trimmed,4,2025 Belgian Grand Prix
NOR,trimmed,5,2025 Belgian Grand Prix
OCO,trimmed,4,2025 Belgian Grand Prix
PIA,trimmed,7,2025 Belgian Grand Prix
RUS,trimmed,4,2025 Belgian Grand Prix
SAI,trimmed,3,2025 Belgian Grand Prix
STR,trimmed,2,2025 Belgian Grand Prix
