driver,step,n,event
ALB,raw,69,2025 Hungarian Grand Prix
ALO,raw,70,2025 Hungarian Grand Prix
ANT,raw,69,2025 Hungarian Grand Prix
BEA,raw,48,2025 Hungarian Grand Prix
BOR,raw,70,2025 Hungarian Grand Prix
COL,raw,69,2025 Hungarian Grand Prix
GAS,raw,69,2025 Hungarian Grand Prix
HAD,raw,69,2025 Hungarian Grand Prix
HAM,raw,69,2025 Hungarian Grand Prix
HUL,raw,69,2025 Hungarian Grand Prix
LAW,raw,70,2025 Hungarian Grand Prix
LEC,raw,70,2025 Hungarian Grand Prix
NOR,raw,70,2025 Hungarian Grand Prix
OCO,raw,69,2025 Hungarian Grand Prix
PIA,raw,70,2025 Hungarian Grand Prix
RUS,raw,70,2025 Hungarian Grand Prix
SAI,raw,69,2025 Hungarian Grand Prix
STR,raw,70,2025 Hungarian Grand Prix
TSU,raw,69,2025 Hungarian Grand Prix
VER,raw,70,2025 Hungarian Grand Prix
ALB,accurate_valid,63,2025 Hungarian Grand Prix
ALO,accurate_valid,67,2025 Hungarian Grand Prix
ANT,accurate_valid,65,2025 Hungarian Grand Prix
BEA,accurate_valid,43,2025 Hungarian Grand Prix
BOR,accurate_valid,67,2025 Hungarian Grand Prix
COL,accurate_valid,62,2025 Hungarian Grand Prix
GAS,accurate_valid,64,2025 Hungarian Grand Prix
HAD,accurate_valid,66,2025 Hungarian Grand Prix
HAM,accurate_valid,65,2025 Hungarian Grand Prix
HUL,accurate_valid,61,2025 Hungarian Grand Prix
LAW,accurate_valid,67,2025 Hungarian Grand Prix
LEC,accurate_valid,65,2025 Hungarian Grand Prix
NOR,accurate_valid,66,2025 Hungarian Grand Prix
OCO,accurate_valid,66,2025 Hungarian Grand Prix
PIA,accurate_valid,65,2025 Hungarian Grand Prix
RUS,accurate_valid,64,2025 Hungarian Grand Prix
SAI,accurate_valid,63,2025 Hungarian Grand Prix
STR,accurate_valid,67,2025 Hungarian Grand Prix
TSU,accurate_valid,64,2025 Hungarian Grand Prix
VER,accurate_valid,65,2025 Hungarian Grand Prix
ALB,no_pits,63,2025 Hungarian Grand Prix
ALO,no_pits,67,2025 Hungarian Grand Prix
ANT,no_pits,65,2025 Hungarian Grand Prix
BEA,no_pits,43,2025 Hungarian Grand Prix
BOR,no_pits,67,2025 Hungarian Grand Prix
COL,no_pits,62,2025 Hungarian Grand Prix
GAS,no_pits,64,2025 Hungarian Grand Prix
HAD,no_pits,66,2025 Hungarian Grand Prix
HAM,no_pits,65,2025 Hungarian Grand Prix
HUL,no_pits,61,2025 Hungarian Grand Prix
