driver,team,race_delta_s,race_se_s,race_n,race_model,quali_delta_s,quali_se_s,quali_k,event_delta_s,event_se_s,event_wR_eff,event_wQ_eff,race_delta_s_shrunk,race_shrink_w,quali_delta_s_shrunk,quali_shrink_w,event_delta_s_shrunk,event_shrink_w
HUL,Kick Sauber,-0.044571181475105935,0.05919188767402662,59.0,"ols_team(fe+spline,clustered)",0.7599999999999909,0.04888876262610286,1.0,0.43372195150117865,0.03769414369789367,0.4055303694828042,0.5944696305171958,-1.2717619579898965e-05,0.0002853327903592158,0.0003178438661709573,0.00041821561338284353,0.41081867948499323,0.9471936526686887
GAS,Alpine,-0.03145548502604167,0.06278825732721413,60.0,"ols_team(fe+spline,clustered)",0.0,0.20957109639557644,1.0,-0.028864537095993896,0.060146801175962765,0.9176312834501597,0.08236871654984032,-7.976812434689852e-06,0.0002535905082400075,0.0,2.2768128869633466e-05,-0.025276610920561472,0.8756977753185451
STR,Aston Martin,-0.014107259114583333,0.07418351267707118,60.0,"ols_team(fe+spline,clustered)",0.2009999999999934,0.21228623234785177,1.0,0.009302050063242528,0.07003072054016012,0.8911737833758696,0.10882621662413033,-2.5630020053736112e-06,0.00018167965758310317,4.460081164107993e-06,2.2189458527901192e-05,0.007800907604624599,0.838622405984487
HAM,Ferrari,-0.012735335553278689,0.03697357428911458,61.0,"ols_team(fe+spline,clustered)",0.12699999999999534,0.15082174909475038,1.0,-0.004813689340053415,0.03591026195970027,0.943309641889362,0.05669035811063803,-9.309148260006346e-06,0.0007309700024048226,5.5828593031534915e-06,4.395952207207635e-05,-0.004581854843862912,0.9518385006150126
HAD,Racing Bulls,-0.009007045200892858,0.07102516160327542,63.0,"ols_team(fe+spline,clustered)",0.04600000000000648,0.10392505312323219,1.0,0.008505561789926926,0.058638992189635225,0.6816297453015443,0.31837025469845565,-1.7851380138857915e-06,0.0001981935223006134,4.258700633405182e-06,9.258044855227353e-05,0.007494422977675427,0.8811202790333047
BEA,Haas F1 Team,-0.0018310546875,0.05924594126158225,59.0,"ols_team(fe+spline,clustered)",0.0,0.286475758136706,1.0,-0.0017559522298049256,0.05801820582239918,0.9589840444374633,0.04101595556253658,-5.215073071675465e-07,0.0002848125240211028,0.0,1.2184815380551208e-05,-0.0015510886347902399,0.8833319087288356
NOR,McLaren,-0.0015810074344758064,0.0455271261046227,62.0,"ols_team(fe+spline,clustered)",0.0,0.16625299997293175,1.0,-0.0014707187112496774,0.04391047035871309,0.9302414898114024,0.06975851018859747,-7.624018844139691e-07,0.00048222536326449886,0.0,3.617806263580386e-05,-0.0013672777583366848,0.9296663922735448
RUS,Mercedes,5.002881659836065e-06,0.048919699659976605,61.0,"ols_team(fe+spline,clustered)",0.0,0.11706212026099708,1.0,4.259089554800687e-06,0.04513693373315363,0.8513272638434244,0.14867273615657567,2.089638825540384e-09,0.00041768703871537463,0.0,7.296851992113487e-05,3.943820845104136e-06,0.9259774405679749
TSU,Red Bull Racing,2.209893588362069e-05,0.09847927540217008,58.0,"ols_team(fe+spline,clustered)",0.5330000000000013,0.008499999999997955,1.0,0.529058750546975,0.008468513907715216,0.007394770862276507,0.9926052291377235,2.2784363157960584e-09,0.00010310163022305486,0.007276450511948862,0.01365187713311228,0.527574191290449,0.9971939614362466
ALB,Williams,4.7471788194444445e-05,0.12957897027981122,9.0,"ols_team(fe+spline,clustered)",0.0,0.1987824438928142,1.0,3.331527266685531e-05,0.10855214631413031,0.7017909780519738,0.2982090219480263,2.827096793499219e-09,5.955319782603155e-05,0.0,2.5306550904380323e-05,2.2781918138071668e-05,0.6838280558555037
