driver,team,quali_delta_s,quali_se_s,quali_k
ALB,Williams,0.0,0.2886234344047833,1.0
STR,Aston Martin,0.0,0.16728335682698503,1.0
OCO,Haas F1 Team,0.0,0.25679474513468437,1.0
NOR,McLaren,0.0,0.2636715668811579,1.0
HAM,Ferrari,0.0,0.19920581284937888,1.0
HAD,Racing Bulls,0.0,0.2675640807564511,1.0
HUL,Kick Sauber,0.0,0.30659865878065706,1.0
ANT,Mercedes,0.0,0.2475652301219245,1.0
GAS,Alpine,0.0,0.22910697325886806,1.0
VER,Red Bull Racing,0.0,0.21081441175530005,1.0
LAW,Racing Bulls,0.07869236576607364,0.19149080979231226,1.0
RUS,Mercedes,0.0919774934261568,0.16002374690147644,1.0
BOR,Kick Sauber,0.11507213572090791,0.23219156309699296,1.0
LEC,Ferrari,0.20408298747665296,0.1448570205159962,1.0
SAI,Williams,0.22995339330890374,0.19716798620595433,1.0
COL,Alpine,0.2643951285826631,0.40256681080354667,1.0
TSU,Red Bull Racing,0.3710158124769123,0.3319837271123589,1.0
ALO,Aston Martin,0.40078880654894533,0.2850468986612073,1.0
PIA,McLaren,0.649133397676934,3.4236334550241287,1.0
BEA,Haas F1 Team,0.6569224087097609,0.2151602474622554,1.0
