driver,team,race_delta_s,race_se_s,race_n,race_model,quali_delta_s,quali_se_s,quali_k,event_delta_s,event_se_s,race_delta_s_shrunk,race_shrink_w,quali_delta_s_shrunk,quali_shrink_w,event_delta_s_shrunk,event_shrink_w
ALB,Williams,-0.3450459089226124,1.0008581724728685,37,raw_team,0.0,0.14978883284292252,1.0,-0.20702754535356743,0.6034964957787029,-3.444541087232876e-07,9.982848653352458e-07,0.0,4.456785889815765e-05,-5.684305817479012e-07,2.7456760924113725e-06
ALO,Aston Martin,-0.16592342342343258,1.032516557767231,36,raw_team,0.0,0.05749999999999744,1.0,-0.09955405405405955,0.6199367380167569,-1.5563714037726129e-07,9.380058412854649e-07,0.0,0.0003023660140600465,-2.590377579606359e-07,2.6019810084275818e-06
ANT,Mercedes,0.498522619047623,1.1421923580593258,35,raw_team,0.8849999999999909,0.29650000000000176,1.0,0.6531135714285702,0.6955021048216061,3.821255130035554e-07,7.665158979818559e-07,1.0066741930254887e-05,1.1374849638706204e-05,1.3501776454171158e-06,2.0672938130252623e-06
BEA,Haas F1 Team,-0.2100747553816051,1.0717739276007574,35,raw_team,0.09199999999999875,0.09633333333333383,1.0,-0.08924485322896356,0.6442178082421264,-1.8288037871401423e-07,8.705490499408568e-07,9.912606249251529e-06,0.00010774572010056157,-2.1503872744544657e-07,2.409536456895173e-06
BOR,Kick Sauber,0.04866768176626431,1.0289790978085855,37,raw_team,0.0,0.25197446960621483,1.0,0.029200609059758586,0.625560433111816,4.596498723011062e-08,9.44466339096777e-07,0.0,1.574998267501907e-05,7.461948662917892e-08,2.5554085696113843e-06
COL,Alpine,0.24895433789954463,1.104047065220601,36,raw_team,0.38900000000001,0.26149999999999807,1.0,0.3049726027397308,0.6706357670151508,2.0424158233798672e-07,8.203977647515428e-07,5.688527526843426e-06,1.4623464079288636e-05,6.780885899912156e-07,2.22344100387899e-06
GAS,Alpine,-0.24222584228063535,0.9925786794341793,37,raw_team,0.0,0.11066503512853618,1.0,-0.1453355053683812,0.5971900506138961,-2.458612862026808e-07,1.0150084891348362e-06,0.0,8.164764956828708e-05,-4.0751667122052035e-07,2.8039718868943267e-06
HAD,Racing Bulls,1.0207620383356728,1.1850625061412046,31,raw_team,0.0,0.21048145867140855,1.0,0.6124572230014037,0.7160046946475374,7.268447963728343e-07,7.120609594356944e-07,0.0,2.2571608427737287e-05,1.1946568399795496e-06,1.950596376551855e-06
HAM,Ferrari,0.13947297297298294,0.9629539828794591,37,raw_team,0.7639999999999958,0.1374999999999957,1.0,0.3892837837837881,0.5803842988327895,1.504106272513381e-07,1.0784213173721755e-06,4.0407780084361474e-05,5.2889764508326824e-05,1.1556696650845421e-06,2.9687074397283704e-06
HUL,Kick Sauber,-0.05296188898095183,1.1270557861982229,34,raw_team,0.37099999999999517,0.10258045622826986,1.0,0.11662286661142696,0.6774771939135972,-4.1693878717700575e-08,7.872430443841629e-07,3.525359306330876e-05,9.502316189571218e-05,2.5409341254780486e-07,2.1787615064755083e-06
LAW,Racing Bulls,-0.8327269260106755,0.9992297294328151,38,raw_team,0.015999999999991132,0.12444456597216347,1.0,-0.4932361556064088,0.6016007403466652,-8.340104245333862e-07,1.0015413198284094e-06,1.0330945378348908e-06,6.456840861471647e-05,-1.3628152354329897e-06,2.763007577490903e-06
LEC,Ferrari,-0.13947297297296374,0.997341055686084,37,raw_team,0.0,0.15962482054283803,1.0,-0.08368378378377823,0.6018013946659354,-1.4021750248171146e-07,1.0053381633220942e-06,0.0,3.924479924649999e-05,-2.310647675027421e-07,2.7611653901760244e-06
NOR,McLaren,0.10663532025174895,1.000890291641861,37,raw_team,0.0,6.099766345474864,1.0,0.06398119215104936,2.5127246586976257,1.0644559418969224e-07,9.982207953086389e-07,0.0,2.6876554301645628e-08,1.0133569623467074e-08,1.5838356996448796e-07
OCO,Haas F1 Team,0.19348990627253104,1.0779933906045844,38,raw_team,0.0,0.20944465259347084,1.0,0.11609394376351861,0.6521992334152046,1.6650441140641972e-07,8.605328030491565e-07,0.0,2.2795627228806994e-05,2.729279264010834e-07,2.3509230331345527e-06
PIA,McLaren,-0.10959741248098157,0.9429588784632462,36,raw_team,0.06400000000000716,5.711220794720634,1.0,-0.04015844748858606,2.353505597039884,-1.232577695313808e-07,1.1246412368792897e-06,1.962104167454731e-09,3.0657877616476746e-08,-7.250139542178555e-09,1.805383423808704e-07
RUS,Mercedes,-0.4715754504504469,0.991642548071556,37,raw_team,0.0,0.20375220516870574,1.0,-0.2829452702702681,0.6005415666798453,-4.795572282217897e-07,1.0169257703379569e-06,0.0,2.4087121512703784e-05,-7.845399965657083e-07,2.772762364312784e-06
SAI,Williams,0.35463051750381464,1.1189267629168607,36,raw_team,0.49000000000000915,0.10332634384963534,1.0,0.4087783105022924,0.6726270657735317,2.832516417439103e-07,7.987232563561411e-07,4.5891608391610363e-05,9.365634365634593e-05,9.03520907757936e-07,2.2102956163396276e-06
STR,Aston Martin,0.1571906116642881,1.0624709102853196,38,raw_team,0.11699999999999022,0.09050000000000581,1.0,0.14111436699856894,0.638509543133778,1.392490120988867e-07,8.858608705988163e-07,1.4283534259114933e-05,0.00012208148939415493,3.4612692295544395e-07,2.4528113637001543e-06
TSU,Red Bull Racing,0.7365094736842067,1.003424789858064,38,raw_team,0.34199999999999875,0.21802875957084122,1.0,0.5787056842105235,0.6083386537156849,7.314897649586288e-07,9.931844614293038e-07,7.194314219877615e-06,2.1036006490870297e-05,1.56374433714023e-06,2.702140966998634e-06
VER,Red Bull Racing,-0.7564151351351411,1.000468637308277,37,raw_team,0.0,0.21341991472212746,1.0,-0.4538490810810847,0.6063210267881967,-7.557059094938511e-07,9.990623857081292e-07,0.0,2.1954349881204938e-05,-1.2345395852672013e-06,2.7201544229779735e-06
