driver,team,quali_delta_s,quali_se_s,quali_k
ALB,Williams,0.0,0.14978883284292252,1.0
RUS,Mercedes,0.0,0.20375220516870574,1.0
OCO,Haas F1 Team,0.0,0.20944465259347084,1.0
NOR,McLaren,0.0,6.099766345474864,1.0
LEC,Ferrari,0.0,0.15962482054283803,1.0
HAD,Racing Bulls,0.0,0.21048145867140855,1.0
VER,Red Bull Racing,0.0,0.21341991472212746,1.0
BOR,Kick Sauber,0.0,0.25197446960621483,1.0
ALO,Aston Martin,0.0,0.05749999999999744,1.0
GAS,Alpine,0.0,0.11066503512853618,1.0
LAW,Racing Bulls,0.015999999999991132,0.12444456597216347,1.0
PIA,McLaren,0.06400000000000716,5.711220794720634,1.0
BEA,Haas F1 Team,0.09199999999999875,0.09633333333333383,1.0
STR,Aston Martin,0.11699999999999022,0.09050000000000581,1.0
TSU,Red Bull Racing,0.34199999999999875,0.21802875957084122,1.0
HUL,Kick Sauber,0.37099999999999517,0.10258045622826986,1.0
COL,Alpine,0.38900000000001,0.26149999999999807,1.0
SAI,Williams,0.49000000000000915,0.10332634384963534,1.0
HAM,Ferrari,0.7639999999999958,0.1374999999999957,1.0
ANT,Mercedes,0.8849999999999909,0.29650000000000176,1.0
