driver,team,race_delta_s,race_se_s,race_n,race_model,quali_delta_s,quali_se_s,quali_k,event_delta_s,event_se_s,race_delta_s_shrunk,race_shrink_w,quali_delta_s_shrunk,quali_shrink_w,event_delta_s_shrunk,event_shrink_w
ALB,Williams,-0.13536170212765825,2.07432698390121,47.0,raw_team,0.0,,1,-0.08121702127659494,,-0.12321089069668281,0.9102344958730193,0.0,0.0,-0.08121702127659494,0.0
ALO,Aston Martin,0.6150430107526862,2.1094183365987194,47.0,raw_team,0.0,,1,0.3690258064516117,,0.5581239359484313,0.9074551310897793,0.0,0.0,0.3690258064516117,0.0
ANT,Mercedes,8.628289522058825,2.997401423442079,17.0,raw_team,0.0,,1,5.176973713235295,,7.154963129479092,0.8292446737197365,0.0,0.0,5.176973713235295,0.0
BEA,Haas F1 Team,0.1514255319148798,2.0845758248043067,47.0,raw_team,0.0,,1,0.09085531914892789,,0.1377102881482258,0.9094258174746667,0.0,0.0,0.09085531914892789,0.0
BOR,Kick Sauber,27.974013605442185,0.7543549856960217,3.0,raw_team,0.0,,1,16.78440816326531,,27.613866031365752,0.9871256381312988,0.0,0.0,16.78440816326531,0.0
GAS,Alpine,3.0235861096174475e-16,2.0475827977875136,47.0,raw_team,0.0,,1,1.8141516657704685e-16,,2.758516309413808e-16,0.9123326438891541,0.0,0.0,1.8141516657704685e-16,0.0
HAD,Racing Bulls,1.8947806286936005e-15,3.740231430069026,15.0,raw_team,0.0,,1,1.1368683772161603e-15,,1.434759475357086e-15,0.7572166685841165,0.0,0.0,1.1368683772161603e-15,0.0
HAM,Ferrari,-0.580648936170216,2.0886380658511006,47.0,raw_team,0.0,,1,-0.3483893617021296,,-0.527870610247136,0.9091045851712227,0.0,0.0,-0.3483893617021296,0.0
HUL,Kick Sauber,-1.8243921916592662,1.881668730165306,46.0,raw_team,0.0,,1,-1.0946353149955597,,-1.687455329874795,0.9249411050921411,0.0,0.0,-1.0946353149955597,0.0
LEC,Ferrari,0.5806489361702093,2.1680899487027183,47.0,raw_team,0.0,,1,0.3483893617021256,,0.5241768092311971,0.9027430803344172,0.0,0.0,0.3483893617021256,0.0
NOR,McLaren,0.10396739130434687,1.9205044994175708,46.0,raw_team,0.0,,1,0.06238043478260812,,0.09586363623232044,0.9220548388263002,0.0,0.0,0.06238043478260812,0.0
OCO,Haas F1 Team,-0.15142553191490762,2.0404188684623885,47.0,raw_team,0.0,,1,-0.09085531914894457,,-0.13823510758272864,0.9128916757605234,0.0,0.0,-0.09085531914894457,0.0
PIA,McLaren,-0.10396739130434997,1.914822339272964,46.0,raw_team,0.0,,1,-0.062380434782609975,,-0.09590780632476768,0.9224796844619388,0.0,0.0,-0.062380434782609975,0.0
RUS,Mercedes,-3.120870678191491,2.1321647412364557,47.0,raw_team,0.0,,1,-1.8725224069148945,,-2.8263786097349057,0.9056378495544583,0.0,0.0,-1.8725224069148945,0.0
SAI,Williams,0.13536170212766188,2.0095846291997455,47.0,raw_team,0.0,,1,0.08121702127659712,,0.12389428465958276,0.9152831466520419,0.0,0.0,0.08121702127659712,0.0
STR,Aston Martin,-0.6284135109864467,1.8711444659023075,46.0,raw_team,0.0,,1,-0.377048106591868,,-0.581732553390786,0.925716177676728,0.0,0.0,-0.377048106591868,0.0
TSU,Red Bull Racing,1.7350652173913026,2.0928237391326303,46.0,raw_team,0.0,,1,1.0410391304347815,,1.576780728129123,0.9087731759730838,0.0,0.0,1.0410391304347815,0.0
VER,Red Bull Racing,-1.7350652173913066,1.890330014476729,46.0,raw_team,0.0,,1,-1.041039130434784,,-1.6037224342168468,0.9243009531526801,0.0,0.0,-1.041039130434784,0.0
LAW,Racing Bulls,,,,,0.0,,1,0.0,,,,0.0,0.0,0.0,0.0
COL,Alpine,,,,,0.0,,1,0.0,,,,0.0,0.0,0.0,0.0
