driver,team,quali_delta_s,quali_se_s,quali_k
VER,Red Bull Racing,0.0,0.1735282397767001,1.0
ALO,Aston Martin,0.0,0.09292330170630082,1.0
SAI,Williams,0.0,0.16671851276927738,1.0
BEA,Haas F1 Team,0.0,0.13554425271638915,1.0
BOR,Kick Sauber,0.0,0.5144999999999982,1.0
RUS,Mercedes,0.0,3.7318231587838357,1.0
GAS,Alpine,0.0,5.370982817791578,1.0
HAD,Racing Bulls,0.0,0.11115107961688687,1.0
HAM,Ferrari,0.0,5.38333389987571,1.0
PIA,McLaren,0.0,4.771724081239715,1.0
NOR,McLaren,0.015000000000000567,4.8900584787065755,1.0
LEC,Ferrari,0.03699999999999193,5.558748997719078,1.0
HUL,Kick Sauber,0.1280000000000001,0.45150000000000295,1.0
ALB,Williams,0.14300000000000068,0.11504129693288405,1.0
ANT,Mercedes,0.34499999999999886,0.18173584309834703,1.0
OCO,Haas F1 Team,0.4789999999999992,0.2040147053523338,1.0
LAW,Racing Bulls,0.5759999999999934,0.08299999999999841,1.0
TSU,Red Bull Racing,0.9339999999999975,6.3325962653559404,1.0
STR,Aston Martin,0.9530000000000031,0.43599999999999994,1.0
COL,Alpine,1.3490000000000038,12.475513460820403,1.0
