driver,race_delta_s,race_se_s,race_n,race_model,race_ref_compound,race_ref_age,race_ref_lap_center
ALO,0.0,1.3791869812723385,47,ols,INTERMEDIATE,3.0,28.0
PIA,1.046875,1.4233726589827629,46,ols,INTERMEDIATE,3.0,28.0
HAM,1.25,1.377707315252204,47,ols,INTERMEDIATE,3.0,28.0
NOR,1.515625,1.3485039289141498,46,ols,INTERMEDIATE,3.0,28.0
HUL,1.859375,1.2742878243993438,46,ols,INTERMEDIATE,3.0,28.0
VER,2.078125,1.3242490984699569,46,ols,INTERMEDIATE,3.0,28.0
BEA,2.4375,1.3099382550252807,47,ols,INTERMEDIATE,3.0,28.0
OCO,3.578125,1.5444443351335106,47,ols,INTERMEDIATE,3.0,28.0
STR,3.921875,1.2691335869376086,46,ols,INTERMEDIATE,3.0,28.0
SAI,4.109375,1.3124735212176877,47,ols,INTERMEDIATE,3.0,28.0
RUS,4.40625,1.4370956690523808,47,ols,INTERMEDIATE,3.0,28.0
GAS,4.515625,1.3900413182914786,47,ols,INTERMEDIATE,3.0,28.0
ALB,4.640625,1.3479409285868929,47,ols,INTERMEDIATE,3.0,28.0
TSU,4.921875,1.5256927551384998,46,ols,INTERMEDIATE,3.0,28.0
LEC,5.390625,1.5103814889987413,47,ols,INTERMEDIATE,3.0,28.0
ANT,7.78125,3.029884304891179,17,ols,INTERMEDIATE,3.0,28.0
HAD,9.25,3.338103564179591,15,ols,INTERMEDIATE,3.0,28.0
BOR,22.828125,1.0873938382090476,3,ols,INTERMEDIATE,3.0,28.0
