driver,team,race_delta_s,race_se_s,race_n,race_model,quali_delta_s,quali_se_s,quali_k,event_delta_s,event_se_s,event_wR_eff,event_wQ_eff,race_delta_s_shrunk,race_shrink_w,race_tau2,quali_delta_s_shrunk,quali_shrink_w,quali_tau2,event_delta_s_shrunk,event_shrink_w,event_tau2
BOR,Kick Sauber,-0.648310546875,0.057234815803343636,50,"ols_team(fe+spline,clustered,track)",0.0,5.338955207136552,1.0,-0.6482360494599363,0.05723152728031536,0.9998850899226878,0.00011491007731225056,-0.611926009256462,0.938511995019885,0.05,0.10849067332541887,0.0017510410032736397,0.05,-0.611859703613483,0.9385186262090247,0.05
BEA,Haas F1 Team,-0.20290190598060345,0.09690849156077486,58,"ols_team(fe+spline,clustered,track)",0.32125107432179334,3.525140819379597,1.0,-0.2025060832803743,0.0968718936334906,0.9992448336361632,0.0007551663638367016,-0.16910568881542848,0.8418747739863025,0.05,0.10974470191266424,0.004007496327586595,0.05,-0.16876378412341553,0.8419753149759929,0.05
ALO,Aston Martin,-0.1646770608836207,0.06818931319999837,58,"ols_team(fe+spline,clustered,track)",0.0,2.890368642749018,1.0,-0.16458545621368834,0.06817034477654577,0.9994437314496577,0.0005562685503421842,-0.15068739270285203,0.914916725601891,0.05,0.10617384797554416,0.0059493843813385695,0.05,-0.150614937940312,0.9149600298821219,0.05
GAS,Alpine,-0.163740234375,0.0759731097420715,50,"ols_team(fe+spline,clustered,track)",0.13797559009107374,5.796959647697333,1.0,-0.1636884208960522,0.0759665860535246,0.9998282705952216,0.00017172940477835213,-0.1478147070924752,0.8965085999097315,0.05,0.1082653608535571,0.0014856747751142321,0.05,-0.14776765295872413,0.8965245334068275,0.05
NOR,McLaren,-0.1202452612704918,0.04770423621556178,61,"ols_team(fe+spline,clustered,track)",0.36011766489703234,0.8093539754187904,1.0,-0.11858223075625154,0.04762158788959056,0.9965379707224528,0.0034620292775472943,-0.11492996541879993,0.9564674522302171,0.05,0.12719787869505988,0.07091656823981278,0.05,-0.113321423623475,0.956611624081556,0.05
TSU,Red Bull Racing,-0.039966724537037035,0.058848043295672336,54,"ols_team(fe+spline,clustered,track)",0.5123487817151045,0.5337550857128962,1.0,-0.03333357309781093,0.058493601802081026,0.9879902856897197,0.012009714310280393,-0.03750134124242993,0.9352246183817468,0.05,0.19251833791392234,0.14930075371621893,0.05,-0.031115349039508244,0.9359527276696116,0.05
RUS,Mercedes,-0.03487422548491379,0.039094561131930924,58,"ols_team(fe+spline,clustered,track)",0.0,0.7263008084673036,1.0,-0.03477347486650869,0.03903804876437901,0.9971110292198837,0.0028889707801163255,-0.033838921600953475,0.9703389749417323,0.05,0.09396131419161466,0.0865781579665001,0.05,-0.033738760810666416,0.9704221302536645,0.05
LAW,Racing Bulls,-0.024697043678977272,0.07922592264138059,44,"ols_team(fe+spline,clustered,track)",0.20771205959258054,5.859570664490187,1.0,-0.024654564436126142,0.07921868193747217,0.9998172221214524,0.00018277787854761605,-0.02223050559134256,0.8884664239986193,0.05,0.10848918159140525,0.0014541406906387706,0.05,-0.022192881076693257,0.8884845365292409,0.05
HAM,Ferrari,-0.013158765889830509,0.05062541339044258,59,"ols_team(fe+spline,clustered,track)",0.0,3.8593988292359476,1.0,-0.013156502088647352,0.05062105846836092,0.9998279625002747,0.00017203749972528,-0.012525967967648668,0.9512406869254886,0.05,0.10736664865327032,0.003345609641284892,0.05,-0.012522962732757412,0.9512486664086339,0.05
ALB,Williams,-0.01197451636904762,0.10620398781397714,42,"ols_team(fe+spline,clustered,track)",0.11791355505118872,2.5590173780372254,1.0,-0.011751181230073994,0.10611264267813708,0.9982805569708473,0.001719443029152805,-0.010032714844926526,0.8159363860987346,0.05,0.1079589664533973,0.007577399413256998,0.05,-0.009828827144502639,0.8161947010276989,0.05
SAI,Williams,0.009736902573529412,0.046431550755652196,51,"ols_team(fe+spline,clustered,track)",0.0,3.678358239704021,1.0,0.009735351365795536,0.04642785205121678,0.9998406877626471,0.00015931223735282836,0.00927552428988766,0.9586645161109645,0.05,0.10748575730553214,0.0036817985460920965,0.05,0.009279577851549096,0.9586708291965282,0.05
LEC,Ferrari,0.013204640355603448,0.06678969319242384,58,"ols_team(fe+spline,clustered,track)",0.033843566898042354,3.6522333595330907,1.0,0.013211540270728489,0.0667785278409576,0.99966568439929,0.00033431560070985075,0.012108247420836365,0.9180904807333636,0.05,0.10745114622721418,0.0037344622528113786,0.05,0.01211652351380751,0.9181156220719819,0.05
HAD,Racing Bulls,0.01984197443181818,0.053184483174375775,55,"ols_team(fe+spline,clustered,track)",0.0,0.8459644145672152,1.0,0.019763858891449982,0.053079689377138355,0.9960631165695419,0.00393688343045804,0.018641317347338177,0.9464572253271494,0.05,0.10126940056967133,0.06530349617465829,0.05,0.01857197877727202,0.946656772682014,0.05
ANT,Mercedes,0.03510994746767242,0.0372124963454263,58,"ols_team(fe+spline,clustered,track)",0.1435772739609149,0.775902172747792,1.0,0.03535887033626061,0.0371697721343289,0.9977050889273674,0.00229491107263257,0.03416458476338205,0.9730509665144459,0.05,0.10598919109401278,0.07668427246298355,0.05,0.03441373705395392,0.9731111491917269,0.05
VER,Red Bull Racing,0.03635212526483051,0.0373094298542467,59,"ols_team(fe+spline,clustered,track)",0.0,0.7551300991548667,1.0,0.036263600540274304,0.037263974187229904,0.9975647991991861,0.0024352008008140043,0.0353158669835545,0.9729141942211129,0.05,0.1253919332057488,0.08061636478030006,0.05,0.03531884321142927,0.9729783712672688,0.05
PIA,McLaren,0.12430481991525423,0.04699730975622069,59,"ols_team(fe+spline,clustered,track)",0.0,3.579688864939268,1.0,0.1242833974941337,0.046993259874877326,0.9998276621844983,0.00017233781550164682,0.11912441027187254,0.9576939259035929,0.05,0.10899391759308096,0.003886763840128273,0.05,0.11913913429201894,0.9577009084399991,0.05
COL,Alpine,0.14361036869517543,0.0701768358325354,57,"ols_team(fe+spline,clustered,track)",0.0,4.3596311787075805,1.0,0.14357316711852172,0.07016774575758199,0.9997409548001881,0.0002590451998118617,0.12984978129193975,0.9103357802365818,0.05,0.10793720557010404,0.0026237926336037474,0.05,0.12982180536892257,0.9103569251749228,0.05
STR,Aston Martin,0.16490857354525862,0.09085787203422627,58,"ols_team(fe+spline,clustered,track)",0.0007030349788408329,2.2990076311617518,1.0,0.16465250613068796,0.0907870010453299,0.9984405677372016,0.0015594322627984559,0.14150393548122578,0.8582931723952704,0.05,0.10581494337115709,0.00937130520804925,0.05,0.1413083835982321,0.8584828818301513,0.05
OCO,Haas F1 Team,0.22637469951923078,0.03750774490045552,52,"ols_team(fe+spline,clustered,track)",0.0,2.7095655951900173,1.0,0.22633132973676814,0.03750415178545527,0.9998084159468583,0.00019158405314177108,0.22047593813695315,0.9726333854444122,0.05,0.10815709070089809,0.006764301956571368,0.05,0.22044006947238262,0.9726384849947365,0.05
HUL,Kick Sauber,0.5314741290983607,0.06327561561271967,61,"ols_team(fe+spline,clustered,track)",0.3319634019121338,2.8953563718888287,1.0,0.5313788873002288,0.06326051065347395,0.9995226231718206,0.00047737682817943535,0.48787646414742714,0.9258607122208007,0.05,0.11000482544112224,0.005929025869942296,0.05,0.4878079270269969,0.9258934817929363,0.05
