driver,team,quali_delta_s,quali_se_s,quali_k
ALB,Williams,0.0,,1
RUS,Mercedes,0.0,,1
PIA,McLaren,0.0,,1
HAM,Ferrari,0.0,,1
HAD,Racing Bulls,0.0,,1
HUL,Kick Sauber,0.0,,1
BEA,Haas F1 Team,0.0,,1
ALO,Aston Martin,0.0,,1
COL,Alpine,0.0,,1
VER,Red Bull Racing,0.0,,1
OCO,Haas F1 Team,0.07200000000000273,,1
LEC,Ferrari,0.10000000000000853,,1
BOR,Kick Sauber,0.20199999999999818,,1
NOR,McLaren,0.4789999999999992,,1
ANT,Mercedes,0.49200000000000443,,1
SAI,Williams,0.5060000000000002,,1
GAS,Alpine,0.5250000000000057,,1
LAW,Racing Bulls,0.6580000000000013,,1
STR,Aston Martin,0.9309999999999974,,1
TSU,Red Bull Racing,1.0430000000000064,,1
