driver,team,race_delta_s,race_se_s,race_n,race_model,quali_delta_s,quali_se_s,quali_k,event_delta_s,event_se_s,event_wR_eff,event_wQ_eff,race_delta_s_shrunk,race_shrink_w,race_tau2,quali_delta_s_shrunk,quali_shrink_w,quali_tau2,event_delta_s_shrunk,event_shrink_w,event_tau2
PIA,McLaren,-0.6088904747596153,0.04270483753928172,65,"ols_team(fe+spline,clustered,track)",0.05100000000000193,0.10068068335087874,1.0,-0.5082705889619658,0.039314443705942836,0.8475203239836078,0.15247967601639226,-0.5876257499182969,0.9648094783191384,0.05,0.04964244706781494,0.8314404206423388,0.05,-0.4923156040064629,0.970014419858184,0.05
STR,Aston Martin,-0.500723174124053,0.0433057117669193,66,"ols_team(fe+spline,clustered,track)",0.0,0.21784511572317605,1.0,-0.4816878447931504,0.04247458837843836,0.9619843252427805,0.03801567475721939,-0.48275273978564326,0.9638482744077891,0.05,0.04663274013294295,0.5130494410354868,0.05,-0.46581328066829264,0.965174745179278,0.05
BOR,Kick Sauber,-0.12598026160037878,0.037139293170529275,66,"ols_team(fe+spline,clustered,track)",0.0,0.24001121501574407,1.0,-0.1230342780180198,0.03670248278935275,0.97661551464543,0.023384485354570023,-0.12255044408768341,0.973154045116299,0.05,0.11966803891451243,0.46466076743681956,0.05,-0.11711327278634132,0.9737653543997549,0.05
RUS,Mercedes,-0.08034551711309523,0.05548372299515517,63,"ols_team(fe+spline,clustered,track)",0.0,0.14137807467921046,1.0,-0.06962250688201882,0.05164872417779841,0.8665387862774896,0.13346121372251032,-0.07575896020767284,0.9420020009367124,0.05,0.06343265672185636,0.7144106340880135,0.05,-0.06437867003800805,0.9493504321486153,0.05
LEC,Ferrari,-0.07224496694711538,0.1004181353044618,65,"ols_team(fe+spline,clustered,track)",0.0,0.2074967737366319,1.0,-0.05853549049256073,0.09038950022391597,0.8102362415835801,0.18976375841642,-0.06023512847762979,0.8321710414540757,0.05,0.07493832932596738,0.5373171539576042,0.05,-0.04326076352601661,0.8595457282667829,0.05
BEA,Haas F1 Team,-0.058837890625,0.07723020185378986,44,"ols_team(fe+spline,clustered,track)",0.0,0.2014367146276968,1.0,-0.05129750853720913,0.07211187017393095,0.8718447924000357,0.1281552075999643,-0.0535658475739491,0.8934234444385684,0.05,0.07083020737332493,0.5520180399495446,0.05,-0.04637034152091091,0.9057951024648014,0.05
TSU,Red Bull Racing,-0.04274626701108871,0.06658423247080902,62,"ols_team(fe+spline,clustered,track)",0.35200000000000387,0.31750000000000256,1.0,-0.026116690683547706,0.0651666365314747,0.9578727458185851,0.04212725418141498,-0.03934553585002159,0.9185526693947301,0.05,0.22823377060186836,0.3315512453893619,0.05,-0.02389410976552294,0.9217152147648867,0.05
COL,Alpine,-0.033561585441468256,0.08544136752404054,63,"ols_team(fe+spline,clustered,track)",0.0,0.30517358448376086,1.0,-0.031122031413623834,0.08227746924658005,0.9273111208617058,0.07268887913829429,-0.029366364119798222,0.8725968878247637,0.05,0.06686113151038958,0.34933053713645495,0.05,-0.027051214574553777,0.8807533592178585,0.05
LAW,Racing Bulls,-0.012715970552884615,0.040297212416105434,65,"ols_team(fe+spline,clustered,track)",0.16100000000000136,0.15548577998575258,1.0,-0.0017820675631495626,0.03900842460357252,0.9370587346981645,0.06294126530183558,-0.012316806719862492,0.9685442901616288,0.05,0.1383462863083443,0.6740740413412599,0.05,-0.0016033988217717624,0.970465678453635,0.05
SAI,Williams,-0.0009212493896484375,0.08844331308395836,64,"ols_team(fe+spline,clustered,track)",0.0,0.4726364988021968,1.0,-0.0008900816477107058,0.08693433164220057,0.9661679646272268,0.03383203537277325,-0.0008230341549475621,0.864719485356667,0.05,0.16250245756678128,0.1828920842330716,0.05,0.0012780953797078397,0.8686953433707263,0.05
ALB,Williams,0.0008068084716796875,0.08896819390049493,64,"ols_team(fe+spline,clustered,track)",0.570999999999998,0.3741804377569749,1.0,0.03131707946720837,0.08655518673579918,0.9464913446024312,0.05350865539756871,0.0006698579547240565,0.8633291354119733,0.05,0.29679707136538064,0.26314266016177823,0.05,0.02927190502508502,0.8696892373321579,0.05
HAD,Racing Bulls,0.012777944711538461,0.06580464798337927,65,"ols_team(fe+spline,clustered,track)",0.0,0.11248315429432254,1.0,0.009519824468372254,0.05679898020558289,0.7450200077776099,0.25497999222239015,0.011757418757735057,0.9202975955195507,0.05,0.018476974433407886,0.7980532607977356,0.05,0.009201469999162788,0.9393883322565939,0.05
GAS,Alpine,0.03247258112980769,0.07826432612641797,65,"ols_team(fe+spline,clustered,track)",0.09099999999999397,0.37850000000000256,1.0,0.034872367893003735,0.07664300511712935,0.9589972219940408,0.04100277800595926,0.02885957708450414,0.890863759725515,0.05,0.09971560802840272,0.2587158123223729,0.05,0.03152322512551101,0.8948681955994283,0.05
OCO,Haas F1 Team,0.03919566761363636,0.0785723980223159,66,"ols_team(fe+spline,clustered,track)",0.3289999999999935,0.3800000000000026,1.0,0.0510778439442842,0.07694477894630726,0.9589993143552908,0.041000685644709184,0.03385810243375781,0.8900974952168206,0.05,0.20206282397108027,0.2572016460905323,0.05,0.045776473013299804,0.8941264990080864,0.05
VER,Red Bull Racing,0.04086726262019231,0.08154866579925728,65,"ols_team(fe+spline,clustered,track)",0.0,0.12734138281712712,1.0,0.028981725057235293,0.06867381935495363,0.7091672698164904,0.29083273018350964,0.03595332808070628,0.8826096524464181,0.05,0.04085940739791924,0.7551064704318305,0.05,0.02667975489410014,0.9138079280489745,0.05
HAM,Ferrari,0.07109485973011363,0.08547440599182497,66,"ols_team(fe+spline,clustered,track)",0.3299999999999983,0.11548403569324894,1.0,0.16272785790299196,0.06870329466276462,0.6460750138936623,0.35392498610633766,0.061943713148383615,0.8725109040392588,0.05,0.2946174024730993,0.7894334334927052,0.05,0.15302269058386103,0.9137403072281699,0.05
ANT,Mercedes,0.07789400540865385,0.0902906144903014,65,"ols_team(fe+spline,clustered,track)",0.49200000000000443,0.21768810512086065,1.0,0.13867767302597042,0.08340121758983582,0.853217126988709,0.14678287301129106,0.0667967988675804,0.8598098142661401,0.05,0.36067482746865714,0.5134096906649581,0.05,0.12588275023135184,0.8778742884401681,0.05
HUL,Kick Sauber,0.12999534606933594,0.10432992780559341,64,"ols_team(fe+spline,clustered,track)",0.49500000000000455,0.0929999999999964,1.0,0.33338597994813984,0.06942233589052946,0.44277249155996445,0.5572275084400357,0.10707331838399978,0.8212239234673531,0.05,0.4549671794158703,0.8525294548926763,0.05,0.31310165849940635,0.9120848571446188,0.05
ALO,Aston Martin,0.493315283931903,0.07586809649404885,67,"ols_team(fe+spline,clustered,track)",0.15200000000000102,0.15443911421657458,1.0,0.42696027337952175,0.06809516793274058,0.8055902748099022,0.19440972519009786,0.4420121555642979,0.8967649874026945,0.05,0.13383800269751764,0.6770348689206316,0.05,0.3885307241400605,0.9151315778992862,0.05
NOR,McLaren,0.5995631362452651,0.04161089236147078,66,"ols_team(fe+spline,clustered,track)",0.0,0.14864499094599,1.0,0.5559935668444376,0.04007047138458528,0.9273311403471536,0.0726688596528464,0.579341086182903,0.9665297258159231,0.05,0.013161872469858723,0.6935261644304289,0.05,0.5394356138519187,0.9688862962712599,0.05
