driver,team,quali_delta_s,quali_se_s,quali_k
VER,Red Bull Racing,0.0,0.1034268148154579,1.0
BEA,Haas F1 Team,0.0,0.0950461003408942,1.0
BOR,Kick Sauber,0.0,0.2319815704662198,1.0
COL,Alpine,0.0,0.08727643170505849,1.0
HAD,Racing Bulls,0.0,0.10361537954197805,1.0
HAM,Ferrari,0.0,0.1809468290622706,1.0
STR,Aston Martin,0.0,0.10377138316838762,1.0
NOR,McLaren,0.0,0.09394552060702241,1.0
SAI,Williams,0.0,0.1568345516876271,1.0
RUS,Mercedes,0.0,0.10279932950357691,1.0
PIA,McLaren,0.011086892621989364,0.10289124633474439,1.0
LEC,Ferrari,0.029921026541629203,0.1898758875297259,1.0
ALO,Aston Martin,0.05807832116671818,0.12233668383911364,1.0
GAS,Alpine,0.14941478959140397,0.16779915876252005,1.0
LAW,Racing Bulls,0.162958799532106,0.1386934950661323,1.0
ANT,Mercedes,0.18662542267739468,0.5575041562641304,1.0
HUL,Kick Sauber,0.2908679310906592,0.10008077822492822,1.0
TSU,Red Bull Racing,0.3780042620810917,0.0055021198807310165,1.0
OCO,Haas F1 Team,0.3814950209560522,0.0771493401931238,1.0
ALB,Williams,0.44183183221888106,0.13912007297395312,1.0
