driver,race_delta_s,race_se_s,race_n,race_model,race_ref_compound,race_ref_age,race_ref_lap_center
PIA,0.0,0.3577832457063681,70,ols,HARD,3.0,35.0
NOR,0.242919921875,0.29183575946762197,70,ols,HARD,3.0,35.0
RUS,0.324951171875,0.3672311734188671,70,ols,HARD,3.0,35.0
LEC,0.614013671875,0.36143529259265256,70,ols,HARD,3.0,35.0
ALO,0.892822265625,0.3068808293354247,70,ols,HARD,3.0,35.0
VER,1.04931640625,0.3587423000057324,70,ols,HARD,3.0,35.0
STR,1.156494140625,0.2776007932590225,70,ols,HARD,3.0,35.0
LAW,1.192626953125,0.30428643256878474,70,ols,HARD,3.0,35.0
BOR,1.320068359375,0.2845536809166704,70,ols,HARD,3.0,35.0
HAM,1.5927734375,0.33917019512957697,69,ols,HARD,3.0,35.0
ANT,1.607666015625,0.3359134965302219,69,ols,HARD,3.0,35.0
HAD,1.60791015625,0.29769725824909354,69,ols,HARD,3.0,35.0
SAI,1.694580078125,0.3790465494926447,69,ols,HARD,3.0,35.0
COL,1.748046875,0.5435375034301638,69,ols,HARD,3.0,35.0
ALB,1.79541015625,0.41291173684570726,69,ols,HARD,3.0,35.0
TSU,1.847412109375,0.4229261923254298,69,ols,HARD,3.0,35.0
HUL,1.870849609375,0.4909899762081903,69,ols,HARD,3.0,35.0
OCO,2.072265625,0.3367412339831982,69,ols,HARD,3.0,35.0
BEA,2.107666015625,0.43726096395850134,48,ols,HARD,3.0,35.0
GAS,2.16845703125,0.32645476375567994,69,ols,HARD,3.0,35.0
