year,gp,driver,team,race_delta_s,race_se_s,race_n,race_model,quali_delta_s,quali_se_s,quali_k,event_delta_s,event_se_s,event_wR_eff,event_wQ_eff,race_delta_s_shrunk,race_shrink_w,race_tau2,quali_delta_s_shrunk,quali_shrink_w,quali_tau2,event_delta_s_shrunk,event_shrink_w,event_tau2
2025,Hungarian Grand Prix,PIA,McLaren,-0.6088904747596153,0.04270483753928172,65.0,"ols_team(fe+spline,clustered)",0.05100000000000193,0.10068068335087874,1.0,-0.5082705889619658,0.039314443705942836,0.8475203239836078,0.15247967601639226,-0.5916601827722561,0.9716111262098693,0.062416363671938035,0.1511745200414417,9.864267676767765e-05,1e-06,-0.49421928009889815,0.9734546342211536,0.056680186764625606
2025,Hungarian Grand Prix,STR,Aston Martin,-0.500723174124053,0.0433057117669193,66.0,"ols_team(fe+spline,clustered)",0.0,0.21784511572317605,1.0,-0.4816878447931504,0.04247458837843836,0.9619843252427805,0.03801567475721939,-0.4861740084452817,0.9708300875313367,0.062416363671938035,0.15119259599218396,2.107148747961501e-05,1e-06,-0.4661803534865967,0.9691525528325607,0.056680186764625606
2025,Hungarian Grand Prix,BOR,Kick Sauber,-0.12598026160037878,0.037139293170529275,66.0,"ols_team(fe+spline,clustered)",0.0,0.24001121501574407,1.0,-0.1230342780180198,0.03670248278935275,0.97661551464543,0.023384485354570023,-0.1232985577151335,0.978378992678395,0.062416363671938035,0.15120318879391956,1.7359187335431165e-05,1e-06,-0.11968799153145394,0.9767855269067944,0.056680186764625606
2025,Hungarian Grand Prix,RUS,Mercedes,-0.08034551711309523,0.05548372299515517,63.0,"ols_team(fe+spline,clustered)",0.0,0.14137807467921046,1.0,-0.06962250688201882,0.05164872417779841,0.8665387862774896,0.13346121372251032,-0.07666065465679064,0.952997135963718,0.062416363671938035,0.1511980632608331,5.002811580107918e-05,1e-06,-0.06554631795100756,0.9550515483015172,0.056680186764625606
2025,Hungarian Grand Prix,LEC,Ferrari,-0.07224496694711538,0.1004181353044618,65.0,"ols_team(fe+spline,clustered)",0.0,0.2074967737366319,1.0,-0.05853549049256073,0.09038950022391597,0.8102362415835801,0.18976375841642,-0.06246772662658687,0.8609133949039848,0.062416363671938035,0.15119746706628936,2.3225614652988726e-05,1e-06,-0.048506626657664254,0.8740137973171488,0.056680186764625606
2025,Hungarian Grand Prix,BEA,Haas F1 Team,-0.058837890625,0.07723020185378986,44.0,"ols_team(fe+spline,clustered)",0.0,0.2014367146276968,1.0,-0.05129750853720913,0.07211187017393095,0.8718447924000357,0.1281552075999643,-0.053876017029426564,0.9127752502329187,0.062416363671938035,0.15119656141041796,2.46440475383676e-05,1e-06,-0.04521776175588112,0.9159648369744009,0.056680186764625606
2025,Hungarian Grand Prix,TSU,Red Bull Racing,-0.04274626701108871,0.06658423247080902,62.0,"ols_team(fe+spline,clustered)",0.35200000000000387,0.31750000000000256,1.0,-0.026116690683547706,0.0651666365314747,0.9578727458185851,0.04212725418141498,-0.040040595283943776,0.9336803035626039,0.062416363671938035,0.15120283958612749,9.919921434222081e-06,1e-06,-0.022829174525788164,0.9302985692634829,0.056680186764625606
2025,Hungarian Grand Prix,COL,Alpine,-0.033561585441468256,0.08544136752404054,63.0,"ols_team(fe+spline,clustered)",0.0,0.30517358448376086,1.0,-0.031122031413623834,0.08227746924658005,0.9273111208617058,0.07268887913829429,-0.030251319098050605,0.8952870875606579,0.062416363671938035,0.15119658800011165,1.073745753111844e-05,1e-06,-0.02555551353664072,0.8933080122555499,0.056680186764625606
2025,Hungarian Grand Prix,LAW,Racing Bulls,-0.012715970552884615,0.040297212416105434,65.0,"ols_team(fe+spline,clustered)",0.16100000000000136,0.15548577998575258,1.0,-0.0017820675631495626,0.03900842460357252,0.9370587346981645,0.06294126530183558,-0.012442924890937868,0.9746430430706705,0.062416363671938035,0.15119272761838387,4.1361919321737916e-05,1e-06,-0.001185310474480887,0.973855515793666,0.056680186764625606
2025,Hungarian Grand Prix,SAI,Williams,-0.0009212493896484375,0.08844331308395836,64.0,"ols_team(fe+spline,clustered)",0.0,0.4726364988021968,1.0,-0.0008900816477107058,0.08693433164220057,0.9661679646272268,0.03383203537277325,-0.0010356775992538818,0.8886335791295371,0.062416363671938035,0.1512008013986735,4.476551064510433e-06,1e-06,0.0016919003528051424,0.8823499222981797,0.056680186764625606
2025,Hungarian Grand Prix,ALB,Williams,0.0008068084716796875,0.08896819390049493,64.0,"ols_team(fe+spline,clustered)",0.570999999999998,0.3741804377569749,1.0,0.03131707946720837,0.08655518673579918,0.9464913446024312,0.05350865539756871,0.0004966905722323879,0.8874570191532405,0.062416363671938035,0.15120447656368408,7.142244950432751e-06,1e-06,0.030119166681115722,0.8832543499489027,0.056680186764625606
2025,Hungarian Grand Prix,HAD,Racing Bulls,0.012777944711538461,0.06580464798337927,65.0,"ols_team(fe+spline,clustered)",0.0,0.11248315429432254,1.0,0.009519824468372254,0.05679898020558289,0.7450200077776099,0.25497999222239015,0.011822591601252529,0.9351240258051725,0.062416363671938035,0.15118037325996633,7.902976735216855e-05,1e-06,0.010140395425342312,0.9461471737616607,0.056680186764625606
2025,Hungarian Grand Prix,GAS,Alpine,0.03247258112980769,0.07826432612641797,65.0,"ols_team(fe+spline,clustered)",0.09099999999999397,0.37850000000000256,1.0,0.034872367893003735,0.07664300511712935,0.9589972219940408,0.04100277800595926,0.02939647454101283,0.9106338540397129,0.062416363671938035,0.15119779129150945,6.980157158238324e-06,1e-06,0.03357454025302224,0.906095236313172,0.056680186764625606
2025,Hungarian Grand Prix,OCO,Haas F1 Team,0.03919566761363636,0.0785723980223159,66.0,"ols_team(fe+spline,clustered)",0.3289999999999935,0.3800000000000026,1.0,0.0510778439442842,0.07694477894630726,0.9589993143552908,0.041000685644709184,0.035492080281461905,0.9099923743282379,0.062416363671938035,0.15120151888891376,6.925159798062244e-06,1e-06,0.0482379554494192,0.905424374603728,0.056680186764625606
2025,Hungarian Grand Prix,VER,Red Bull Racing,0.04086726262019231,0.08154866579925728,65.0,"ols_team(fe+spline,clustered)",0.0,0.12734138281712712,1.0,0.028981725057235293,0.06867381935495363,0.7091672698164904,0.29083273018350964,0.036744642772070644,0.9037133745386919,0.062416363671938035,0.15119152397366348,6.16643411216525e-05,1e-06,0.028372380806040848,0.9231860065923546,0.056680186764625606
2025,Hungarian Grand Prix,HAM,Ferrari,0.07109485973011363,0.08547440599182497,66.0,"ols_team(fe+spline,clustered)",0.3299999999999983,0.11548403569324894,1.0,0.16272785790299196,0.06870329466276462,0.6460750138936623,0.35392498610633766,0.06344093782910688,0.8952145783719002,0.062416363671938035,0.15121438447643565,7.497621848070293e-05,1e-06,0.15183772654757757,0.9231251242645396,0.056680186764625606
2025,Hungarian Grand Prix,ANT,Mercedes,0.07789400540865385,0.0902906144903014,65.0,"ols_team(fe+spline,clustered)",0.49200000000000443,0.21768810512086065,1.0,0.13867767302597042,0.08340121758983582,0.853217126988709,0.14678287301129106,0.0686702149711126,0.8844758614017564,0.062416363671938035,0.15121281920021237,2.1101894012220445e-05,1e-06,0.12582177383579365,0.8906944406304962,0.056680186764625606
